"","State","County","Civ_Labor_Force_2023","Med_Household_Income_2023","Unemployment_Rate_2023"
"41","AL","Lee County, AL",81236,59637,2.3
"42","AL","Limestone County, AL",49912,83159,2.1
"43","AL","Lowndes County, AL",3501,42268,4.6
"44","AL","Macon County, AL",7995,36601,3.2
"45","AL","Madison County, AL",206080,80426,2
"46","AL","Marengo County, AL",7585,45587,3.3
"47","AL","Marion County, AL",13526,47742,2.9
"48","AL","Marshall County, AL",46210,53388,2.1
"49","AL","Mobile County, AL",190167,54315,3.1
"50","AL","Monroe County, AL",6989,47498,4.3
"51","AL","Montgomery County, AL",108083,56862,2.8
"52","AL","Morgan County, AL",61853,62260,2
"53","AL","Perry County, AL",2979,33585,5
"54","AL","Pickens County, AL",7810,45440,3
"55","AL","Pike County, AL",16124,45144,2.7
"56","AL","Randolph County, AL",9637,49433,2.4
"57","AL","Russell County, AL",23550,45074,2.8
"58","AL","St. Clair County, AL",42456,70361,2.1
"59","AL","Shelby County, AL",122282,98263,1.8
"60","AL","Sumter County, AL",4584,35152,3.7
"61","AL","Talladega County, AL",36727,55186,2.8
"62","AL","Tallapoosa County, AL",17385,55270,2.5
"63","AL","Tuscaloosa County, AL",106199,60875,2.3
"64","AL","Walker County, AL",25677,51065,2.6
"65","AL","Washington County, AL",9150,53785,2.6
"66","AL","Wilcox County, AL",2526,33682,8
"67","AL","Winston County, AL",9748,51149,2.7
"68","AK","Aleutians East Borough, AK",2522,85852,2.1
"69","AK","Aleutians West Census Area, AK",3553,112218,3
"70","AK","Anchorage Borough/municipality, AK",150823,99162,3.4
"71","AK","Bethel Census Area, AK",6743,59011,9.7
"72","AK","Bristol Bay Borough, AK",461,96382,3.7
"73","AK","Chugach Census Area, AK",3460,91356,4.7
"74","AK","Copper River Census Area, AK",1378,63837,7.6
"75","AK","Denali Borough, AK",1041,90897,6
"76","AK","Dillingham Census Area, AK",1729,69716,6.4
"77","AK","Fairbanks North Star Borough, AK",45499,84166,3.8
"78","AK","Haines Borough, AK",1111,70610,6.6
"79","AK","Hoonah-Angoon Census Area, AK",1289,64181,5.6
"80","AK","Juneau Borough/city, AK",17471,102097,3
"81","AK","Kenai Peninsula Borough, AK",28170,76254,4.7
"82","AK","Ketchikan Gateway Borough, AK",6883,82648,3.7
"83","AK","Kodiak Island Borough, AK",5984,83222,4.4
"84","AK","Kusilvak Census Area, AK",2298,41824,15.1
"85","AK","Lake and Peninsula Borough, AK",663,63038,5.9
"86","AK","Matanuska-Susitna Borough, AK",49710,86313,4.8
"87","AK","Nome Census Area, AK",4049,64480,7.7
"88","AK","North Slope Borough, AK",3064,95795,4.9
"89","AK","Northwest Arctic Borough, AK",2803,69234,9.6
"90","AK","Petersburg Borough, AK",1398,76641,5.1
"91","AK","Prince of Wales-Hyder Census Area, AK",2670,58381,6.7
"92","AK","Sitka Borough/city, AK",4519,90345,3
"93","AK","Skagway Municipality, AK",773,73603,5.8
"94","AK","Southeast Fairbanks Census Area, AK",3397,74732,5.2
"95","AK","Wrangell Borough/city, AK",926,67761,4.9
"96","AK","Yakutat Borough/city, AK",315,78552,6
"97","AK","Yukon-Koyukuk Census Area, AK",2392,47798,9
"98","AZ","Apache County, AZ",18283,40632,7.9
"99","AZ","Cochise County, AZ",49585,55254,4.5
"100","AZ","Coconino County, AZ",75192,64016,4.2
"101","AZ","Gila County, AZ",20652,51928,4.3
"102","AZ","Graham County, AZ",16670,63797,3.7
"103","AZ","Greenlee County, AZ",4722,76338,2.9
"104","AZ","La Paz County, AZ",9093,53925,4.8
"105","AZ","Maricopa County, AZ",2441028,83668,3.4
"106","AZ","Mohave County, AZ",90082,54842,4.5
"107","AZ","Navajo County, AZ",40101,49948,5.7
"108","AZ","Pima County, AZ",494336,64007,3.8
"109","AZ","Pinal County, AZ",204252,76232,4.1
"110","AZ","Santa Cruz County, AZ",19216,53467,7.6
"111","AZ","Yavapai County, AZ",109164,64187,3.6
"112","AZ","Yuma County, AZ",98597,54209,13.2
"113","AR","Arkansas County, AR",9100,52145,2.7
"114","AR","Ashley County, AR",6450,47253,5.6
"115","AR","Baxter County, AR",16806,48573,3.6
"116","AR","Benton County, AR",154952,86374,2.4
"117","AR","Boone County, AR",15848,53025,3.1
"118","AR","Bradley County, AR",4037,44982,4.6
"119","AR","Calhoun County, AR",2353,52535,2.9
"120","AR","Carroll County, AR",12299,50433,2.9
"121","AR","Chicot County, AR",2851,38217,5.8
"122","AR","Clark County, AR",8499,50519,4.7
"123","AR","Clay County, AR",5381,46855,4.1
"124","AR","Cleburne County, AR",8996,52662,3.9
"125","AR","Cleveland County, AR",3054,55533,3.5
"126","AR","Columbia County, AR",8764,47278,4.3
"127","AR","Conway County, AR",8314,52405,3.8
"128","AR","Craighead County, AR",57392,60580,2.7
"129","AR","Crawford County, AR",26514,54741,3.4
"130","AR","Crittenden County, AR",20358,49644,4.2
"131","AR","Cross County, AR",6816,48299,3.4
"132","AR","Dallas County, AR",2647,44476,3.9
"133","AR","Desha County, AR",4888,41251,4.6
"134","AR","Drew County, AR",7369,48635,4.2
"135","AR","Faulkner County, AR",64394,63429,2.9
"136","AR","Franklin County, AR",7434,48248,3.2
"137","AR","Fulton County, AR",4523,42588,3.8
"138","AR","Garland County, AR",41570,53239,3.7
"139","AR","Grant County, AR",8608,63512,2.9
"140","AR","Greene County, AR",19693,54475,3.3
"141","AR","Hempstead County, AR",9141,46423,3.4
"142","AR","Hot Spring County, AR",13704,50654,3.5
"143","AR","Howard County, AR",5246,46449,3.5
"144","AR","Independence County, AR",16834,57611,3.4
"145","AR","Izard County, AR",4476,43920,5.1
"146","AR","Jackson County, AR",5385,43579,5.1
"147","AR","Jefferson County, AR",25365,45894,4.6
"148","AR","Johnson County, AR",9849,46660,4.4
"149","AR","Lafayette County, AR",2201,42437,4.9
"150","AR","Lawrence County, AR",6764,47312,3.4
"151","AR","Lee County, AR",2547,35213,5.2
"152","AR","Lincoln County, AR",3657,48311,4
"153","AR","Little River County, AR",5165,48883,3.5
"154","AR","Logan County, AR",8270,48510,4
"155","AR","Lonoke County, AR",34884,66160,2.7
"156","AR","Madison County, AR",7918,51233,2.6
"157","AR","Marion County, AR",6050,49313,4.1
"158","AR","Miller County, AR",18633,48652,3.6
"159","AR","Mississippi County, AR",16776,45168,4.9
"160","AR","Monroe County, AR",2465,33090,3.9
"161","AR","Montgomery County, AR",2895,46069,4.9
"162","AR","Nevada County, AR",3355,44649,3.7
"163","AR","Newton County, AR",3191,47996,3.4
"164","AR","Ouachita County, AR",9629,49275,3.9
"165","AR","Perry County, AR",4301,56640,3.6
"166","AR","Phillips County, AR",5240,36098,6.5
"167","AR","Pike County, AR",4023,41348,3.5
"168","AR","Poinsett County, AR",9917,47372,3.3
"169","AR","Polk County, AR",7744,45289,3.6
"170","AR","Pope County, AR",28530,57881,3.9
"171","AR","Prairie County, AR",3522,51017,3.1
"172","AR","Pulaski County, AR",193033,57057,3.2
"173","AR","Randolph County, AR",7075,45638,3.5
"174","AR","St. Francis County, AR",7455,38062,5
"175","AR","Saline County, AR",61267,70330,2.7
"176","AR","Scott County, AR",4379,42599,3
"177","AR","Searcy County, AR",2875,38070,4.3
"178","AR","Sebastian County, AR",55851,52679,3.4
"179","AR","Sevier County, AR",5439,49384,3.8
"180","AR","Sharp County, AR",5940,45740,3.9
"181","AR","Stone County, AR",4542,41063,4.1
"182","AR","Union County, AR",14751,50258,4.6
"183","AR","Van Buren County, AR",5940,47150,4
"184","AR","Washington County, AR",136783,62100,2.3
"185","AR","White County, AR",33782,56866,3.5
"186","AR","Woodruff County, AR",2843,41225,3.6
"187","AR","Yell County, AR",8122,50275,3.7
"188","CA","Alameda County, CA",826102,121190,4.1
"189","CA","Alpine County, CA",540,71646,6.5
"190","CA","Amador County, CA",14404,74356,5.1
"191","CA","Butte County, CA",91910,63353,5.2
"192","CA","Calaveras County, CA",21956,73175,4.2
"193","CA","Colusa County, CA",10576,72963,13
"194","CA","Contra Costa County, CA",550610,119667,4.1
"195","CA","Del Norte County, CA",9443,57297,5.7
"196","CA","El Dorado County, CA",93670,104859,4
"197","CA","Fresno County, CA",461040,68693,7.5
"198","CA","Glenn County, CA",12792,63247,6.3
"199","CA","Humboldt County, CA",59947,57660,4.6
"200","CA","Imperial County, CA",73294,55523,17.3
"201","CA","Inyo County, CA",8355,64332,3.8
"202","CA","Kern County, CA",393736,65981,8.3
"203","CA","Kings County, CA",58232,63683,8.2
"204","CA","Lake County, CA",28706,51848,5.8
"205","CA","Lassen County, CA",8624,60308,5.2
"206","CA","Los Angeles County, CA",5015629,82455,5
"207","CA","Madera County, CA",64206,71273,7.5
"208","CA","Marin County, CA",132018,135960,3.3
"209","CA","Mariposa County, CA",7603,66513,5.1
"210","CA","Mendocino County, CA",37377,63621,4.7
"211","CA","Merced County, CA",118932,65253,9
"212","CA","Modoc County, CA",3265,51166,6.3
"213","CA","Mono County, CA",9102,79105,3.8
"214","CA","Monterey County, CA",217665,91450,7
"215","CA","Napa County, CA",71973,98580,3.5
"216","CA","Nevada County, CA",48838,80069,3.9
"217","CA","Orange County, CA",1588873,106047,3.6
"218","CA","Placer County, CA",194719,106114,3.7
"219","CA","Plumas County, CA",7423,66725,7.3
"220","CA","Riverside County, CA",1157871,86350,4.8
"221","CA","Sacramento County, CA",731046,83985,4.4
"222","CA","San Benito County, CA",32408,106560,6
"223","CA","San Bernardino County, CA",1013665,78779,4.7
"224","CA","San Diego County, CA",1596432,98365,3.9
"225","CA","San Francisco County/city, CA",563326,135366,3.3
"226","CA","San Joaquin County, CA",346764,84738,6.2
"227","CA","San Luis Obispo County, CA",136314,88578,3.5
"228","CA","San Mateo County, CA",445393,143795,3
"229","CA","Santa Barbara County, CA",218248,89334,4.1
"230","CA","Santa Clara County, CA",1038951,150502,3.5
"231","CA","Santa Cruz County, CA",133217,99256,5.7
"232","CA","Shasta County, CA",73889,66312,5.1
"233","CA","Sierra County, CA",1332,63939,4.7
"234","CA","Siskiyou County, CA",16716,51593,6.4
"235","CA","Solano County, CA",203063,92711,4.7
"236","CA","Sonoma County, CA",247963,96312,3.6
"237","CA","Stanislaus County, CA",244926,75249,6.4
"238","CA","Sutter County, CA",46736,66071,7.8
"239","CA","Tehama County, CA",26071,58900,5.8
"240","CA","Trinity County, CA",4560,49485,5.7
"241","CA","Tulare County, CA",213303,64313,10
"242","CA","Tuolumne County, CA",19979,70108,5
"243","CA","Ventura County, CA",412931,101981,4.3
"244","CA","Yolo County, CA",109753,82359,4.7
"245","CA","Yuba County, CA",31878,63626,6.7
"246","CO","Adams County, CO",284585,89849,3.4
"247","CO","Alamosa County, CO",7945,53942,3.7
"248","CO","Arapahoe County, CO",378591,93525,3.1
"249","CO","Archuleta County, CO",6820,66025,3.2
"250","CO","Baca County, CO",2038,47147,2
"251","CO","Bent County, CO",1786,42958,3
"252","CO","Boulder County, CO",202678,96584,2.8
"253","CO","Broomfield County/city, CO",43062,114746,3
"254","CO","Chaffee County, CO",10009,75151,3
"255","CO","Cheyenne County, CO",1038,62891,2.1
"256","CO","Clear Creek County, CO",6197,90350,2.8
"257","CO","Conejos County, CO",3854,49141,3.3
"258","CO","Costilla County, CO",1802,36970,4.4
"259","CO","Crowley County, CO",1348,49785,4.2
"260","CO","Custer County, CO",2198,67766,3.2
"261","CO","Delta County, CO",13605,53910,3.6
"262","CO","Denver County/city, CO",441205,87619,3.3
"263","CO","Dolores County, CO",1106,56695,2.9
"264","CO","Douglas County, CO",210345,140768,2.9
"265","CO","Eagle County, CO",34923,105813,2.6
"266","CO","Elbert County, CO",16119,120394,2.6
"267","CO","El Paso County, CO",365168,82248,3.3
"268","CO","Fremont County, CO",14325,57275,4.9
"269","CO","Garfield County, CO",31455,86566,2.9
"270","CO","Gilpin County, CO",3958,89805,2.7
"271","CO","Grand County, CO",9377,88059,2.7
"272","CO","Gunnison County, CO",11419,88855,2.6
"273","CO","Hinsdale County, CO",409,70675,2.9
"274","CO","Huerfano County, CO",2462,47968,5.8
"275","CO","Jackson County, CO",928,62439,2.2
"276","CO","Jefferson County, CO",346425,102413,2.9
"277","CO","Kiowa County, CO",868,55573,2.2
"278","CO","Kit Carson County, CO",4125,56720,1.8
"279","CO","Lake County, CO",4937,71326,2.5
"280","CO","La Plata County, CO",30889,79358,3
"281","CO","Larimer County, CO",214249,88338,2.8
"282","CO","Las Animas County, CO",5934,49097,5
"283","CO","Lincoln County, CO",2231,54345,2.8
"284","CO","Logan County, CO",10043,58976,2.7
"285","CO","Mesa County, CO",76553,69578,3.5
"286","CO","Mineral County, CO",479,69794,2.5
"287","CO","Moffat County, CO",6909,69088,3.2
"288","CO","Montezuma County, CO",12010,58345,4
"289","CO","Montrose County, CO",21339,65736,3.3
"290","CO","Morgan County, CO",15381,65599,3
"291","CO","Otero County, CO",7664,46607,4.1
"292","CO","Ouray County, CO",2455,90837,3.2
"293","CO","Park County, CO",11706,88020,2.8
"294","CO","Phillips County, CO",2404,68571,2.2
"295","CO","Pitkin County, CO",10785,111291,3.3
"296","CO","Prowers County, CO",6150,48832,2.8
"297","CO","Pueblo County, CO",75732,58314,4.4
"298","CO","Rio Blanco County, CO",2737,71630,3.3
"299","CO","Rio Grande County, CO",5209,56877,4
"300","CO","Routt County, CO",16098,104407,2.5
"301","CO","Saguache County, CO",3369,45048,3.5
"302","CO","San Juan County, CO",579,62732,2.6
"303","CO","San Miguel County, CO",5624,94387,3.2
"304","CO","Sedgwick County, CO",1098,46980,3.1
"305","CO","Summit County, CO",22136,96984,2.3
"306","CO","Teller County, CO",13615,81466,3
"307","CO","Washington County, CO",2677,61492,2.3
"308","CO","Weld County, CO",171959,90770,3.3
"309","CO","Yuma County, CO",5364,56075,2
"310","DE","Kent County, DE",81412,71866,4.5
"311","DE","New Castle County, DE",310311,85427,3.9
"312","DE","Sussex County, DE",114807,81188,3.8
"313","DC","District of Columbia",398251,99897,4.9
"314","DC","District of Columbia",398251,99897,4.9
"315","DC","District of Columbia",398251,99897,4.9
"316","DC","District of Columbia",398251,99897,4.9
"317","DC","District of Columbia",398251,99897,4.9
"318","DC","District of Columbia",398251,99897,4.9
"319","DC","District of Columbia",398251,99897,4.9
"320","DC","District of Columbia",398251,99897,4.9
"321","FL","Alachua County, FL",143954,58783,3.1
"322","FL","Baker County, FL",12862,67375,2.9
"323","FL","Bay County, FL",89303,65521,2.8
"324","FL","Bradford County, FL",10952,57664,3.1
"325","FL","Brevard County, FL",305643,74899,3
"326","FL","Broward County, FL",1085562,70834,2.9
"327","FL","Calhoun County, FL",5011,46766,3.3
"328","FL","Charlotte County, FL",78551,65040,3.5
"329","FL","Citrus County, FL",49980,52534,4.5
"330","FL","Clay County, FL",115044,84364,2.9
"331","FL","Collier County, FL",192874,81821,2.9
"332","FL","Columbia County, FL",29934,54060,3.4
"333","FL","DeSoto County, FL",13296,47097,3.6
"334","FL","Dixie County, FL",6003,40587,3.6
"335","FL","Duval County, FL",520131,70203,3.1
"336","FL","Escambia County, FL",153383,61634,3.1
"337","FL","Flagler County, FL",51503,73336,3.7
"338","FL","Franklin County, FL",4807,52180,2.9
"339","FL","Gadsden County, FL",18662,45628,3.9
"340","FL","Gilchrist County, FL",7472,58178,3.3
"341","FL","Glades County, FL",5185,50559,3.8
"342","FL","Gulf County, FL",5485,55909,2.7
"343","FL","Hamilton County, FL",4238,45484,4.3
"344","FL","Hardee County, FL",9084,48572,4.1
"345","FL","Hendry County, FL",15886,55308,4.8
"346","FL","Hernando County, FL",78784,60582,3.8
"347","FL","Highlands County, FL",37436,51954,4.3
"348","FL","Hillsborough County, FL",824322,74091,2.9
"349","FL","Holmes County, FL",7178,50118,3.2
"350","FL","Indian River County, FL",69755,69462,3.5
"351","FL","Jackson County, FL",17596,50625,3.4
"352","FL","Jefferson County, FL",5770,56900,3.2
"353","FL","Lafayette County, FL",2869,50775,3.3
"354","FL","Lake County, FL",177504,67637,3.1
"355","FL","Lee County, FL",378092,71607,3.2
"356","FL","Leon County, FL",161608,61560,3.1
"357","FL","Levy County, FL",17521,55147,3.5
"358","FL","Liberty County, FL",2653,49514,3.3
"359","FL","Madison County, FL",8043,46141,3.3
"360","FL","Manatee County, FL",193407,72176,3
"361","FL","Marion County, FL",151795,54517,3.6
"362","FL","Martin County, FL",77930,80678,2.9
"363","FL","Miami-Dade County, FL",1377572,66952,1.8
"364","FL","Monroe County, FL",49895,79459,1.9
"365","FL","Nassau County, FL",45472,90808,2.8
"366","FL","Okaloosa County, FL",104621,76663,2.6
"367","FL","Okeechobee County, FL",18116,50176,3.2
"368","FL","Orange County, FL",820473,72129,2.8
"369","FL","Osceola County, FL",204145,63782,3.4
"370","FL","Palm Beach County, FL",778964,76713,3
"371","FL","Pasco County, FL",265469,65933,3.3
"372","FL","Pinellas County, FL",523711,66427,2.8
"373","FL","Polk County, FL",344422,61941,3.7
"374","FL","Putnam County, FL",28231,46459,4
"375","FL","St. Johns County, FL",151891,103757,2.7
"376","FL","St. Lucie County, FL",159361,64038,3.5
"377","FL","Santa Rosa County, FL",90137,82537,2.8
"378","FL","Sarasota County, FL",202564,78309,3
"379","FL","Seminole County, FL",273639,80296,2.8
"380","FL","Sumter County, FL",38961,77851,4.2
"381","FL","Suwannee County, FL",18069,51295,3.4
"382","FL","Taylor County, FL",8463,48482,3.4
"383","FL","Union County, FL",4607,60749,3
"384","FL","Volusia County, FL",271253,64601,3.3
"385","FL","Wakulla County, FL",16141,63482,2.7
"386","FL","Walton County, FL",35464,78814,2.8
"387","FL","Washington County, FL",9859,49233,3.3
"388","GA","Appling County, GA",9663,51217,3.4
"389","GA","Atkinson County, GA",4268,46060,3.1
"390","GA","Bacon County, GA",5043,46044,2.9
"391","GA","Baker County, GA",1082,50129,3.8
"392","GA","Baldwin County, GA",17399,49883,4.2
"393","GA","Banks County, GA",11496,66928,2.2
"394","GA","Barrow County, GA",43748,77583,2.8
"395","GA","Bartow County, GA",53059,80017,3.1
"396","GA","Ben Hill County, GA",5665,41141,4.3
"397","GA","Berrien County, GA",7787,48725,3.7
"398","GA","Bibb County, GA",64817,48539,4
"399","GA","Bleckley County, GA",4762,56070,4.2
"400","GA","Brantley County, GA",7561,50370,3.5
"401","GA","Brooks County, GA",6598,43353,3.4
"402","GA","Bryan County, GA",20414,93057,2.6
"403","GA","Bulloch County, GA",39023,49471,3.4
"404","GA","Burke County, GA",9003,49431,5.5
"405","GA","Butts County, GA",11492,62231,2.9
"406","GA","Calhoun County, GA",2306,39681,2.8
"407","GA","Camden County, GA",22531,67628,3
"408","GA","Candler County, GA",6002,44493,2.5
"409","GA","Carroll County, GA",58101,69924,3.3
"410","GA","Catoosa County, GA",34497,66918,2.7
"411","GA","Charlton County, GA",5069,48147,3.1
"412","GA","Chatham County, GA",146009,64029,2.9
"413","GA","Chattahoochee County, GA",1889,57507,4.5
"414","GA","Chattooga County, GA",9382,50714,3.7
"415","GA","Cherokee County, GA",144992,99932,2.6
"416","GA","Clarke County, GA",59574,49832,3.3
"417","GA","Clay County, GA",799,37961,7.8
"418","GA","Clayton County, GA",142329,57625,4.1
"419","GA","Clinch County, GA",3075,45595,2.8
"420","GA","Cobb County, GA",438388,96798,2.8
"421","GA","Coffee County, GA",18822,48792,3.6
"422","GA","Colquitt County, GA",21839,49214,2.8
"423","GA","Columbia County, GA",76003,94224,3
"424","GA","Cook County, GA",8293,44476,3.2
"425","GA","Coweta County, GA",78953,87618,2.9
"426","GA","Crawford County, GA",5296,60295,3.2
"427","GA","Crisp County, GA",9873,43884,3.7
"428","GA","Dade County, GA",8274,59708,2.6
"429","GA","Dawson County, GA",13601,84551,2.6
"430","GA","Decatur County, GA",11465,46455,3.4
"431","GA","DeKalb County, GA",411541,76736,3.3
"432","GA","Dodge County, GA",7101,43783,3.8
"433","GA","Dooly County, GA",4543,46191,3.8
"434","GA","Dougherty County, GA",36062,42629,4.3
"435","GA","Douglas County, GA",76306,79242,3.4
"436","GA","Early County, GA",4003,43417,3.9
"437","GA","Echols County, GA",1831,47195,2.8
"438","GA","Effingham County, GA",34131,88111,2.6
"439","GA","Elbert County, GA",8181,49220,3.6
"440","GA","Emanuel County, GA",8849,46975,4.2
"441","GA","Evans County, GA",4926,45163,2.9
"442","GA","Fannin County, GA",12179,60604,2.8
"443","GA","Fayette County, GA",60597,109358,3
"444","GA","Floyd County, GA",46724,56651,3.2
"445","GA","Forsyth County, GA",132233,130909,2.5
"446","GA","Franklin County, GA",9910,49940,3.2
"447","GA","Fulton County, GA",584831,89798,3.4
"448","GA","Gilmer County, GA",12780,68294,3.1
"449","GA","Glascock County, GA",1237,55539,3.4
"450","GA","Glynn County, GA",40744,63532,2.8
"451","GA","Gordon County, GA",29080,63946,3
"452","GA","Grady County, GA",10846,48548,3.1
"453","GA","Greene County, GA",7583,74488,3.3
"454","GA","Gwinnett County, GA",508851,83918,2.9
"455","GA","Habersham County, GA",19415,62428,3.1
"456","GA","Hall County, GA",111456,76789,2.4
"457","GA","Hancock County, GA",2450,38570,5.5
"458","GA","Haralson County, GA",13218,57912,3.2
"459","GA","Harris County, GA",16719,90636,2.8
"460","GA","Hart County, GA",12724,56137,2.9
"461","GA","Heard County, GA",5392,56724,3.1
"462","GA","Henry County, GA",122673,82379,3.5
"463","GA","Houston County, GA",71134,71237,2.9
"464","GA","Irwin County, GA",3496,49224,3.9
"465","GA","Jackson County, GA",49206,82138,2.1
"466","GA","Jasper County, GA",7298,63718,2.9
"467","GA","Jeff Davis County, GA",6109,46143,4.3
"468","GA","Jefferson County, GA",6686,44459,4
"469","GA","Jenkins County, GA",3335,41830,5
"470","GA","Johnson County, GA",4112,42603,2.9
"471","GA","Jones County, GA",13166,65515,3.1
"472","GA","Lamar County, GA",8505,61542,3.4
"473","GA","Lanier County, GA",3765,50671,3.8
"474","GA","Laurens County, GA",19791,47918,4.1
"475","GA","Lee County, GA",14879,84260,2.8
"476","GA","Liberty County, GA",26226,59807,3.3
"477","GA","Lincoln County, GA",3496,69776,3.8
"478","GA","Long County, GA",8463,71285,3.2
"479","GA","Lowndes County, GA",50299,52623,3.5
"480","GA","Lumpkin County, GA",18091,71486,2.7
"481","GA","McDuffie County, GA",8436,50593,4.9
"482","GA","McIntosh County, GA",6333,51411,3
"483","GA","Macon County, GA",4556,40089,4.2
"484","GA","Madison County, GA",13727,58789,2.9
"485","GA","Marion County, GA",3225,47174,3.6
"486","GA","Meriwether County, GA",9088,53019,3.9
"487","GA","Miller County, GA",2824,45201,2.7
"488","GA","Mitchell County, GA",8037,45296,3.7
"489","GA","Monroe County, GA",12646,76428,2.9
"490","GA","Montgomery County, GA",3869,48356,3.9
"491","GA","Morgan County, GA",9789,74340,2.8
"492","GA","Murray County, GA",15498,62109,4.1
"493","GA","Muscogee County, GA",75177,53740,4.2
"494","GA","Newton County, GA",55216,72128,3.8
"495","GA","Oconee County, GA",20561,114758,2.4
"496","GA","Oglethorpe County, GA",7074,62504,2.8
"497","GA","Paulding County, GA",92858,87459,2.9
"498","GA","Peach County, GA",11898,58471,3.8
"499","GA","Pickens County, GA",16160,71955,2.7
"500","GA","Pierce County, GA",8470,52695,3.1
"501","GA","Pike County, GA",9315,80626,2.7
"502","GA","Polk County, GA",18958,54894,3.3
"503","GA","Pulaski County, GA",4020,46975,3.5
"504","GA","Putnam County, GA",8899,62241,3.8
"505","GA","Quitman County, GA",726,41516,5.2
"506","GA","Rabun County, GA",7832,63387,3
"507","GA","Randolph County, GA",2344,39188,4.2
"508","GA","Richmond County, GA",82954,50079,4.6
"509","GA","Rockdale County, GA",45979,71984,3.7
"510","GA","Schley County, GA",2139,57510,3.3
"511","GA","Screven County, GA",4919,52713,5.2
"512","GA","Seminole County, GA",3074,45223,3.8
"513","GA","Spalding County, GA",29805,55086,3.6
"514","GA","Stephens County, GA",10409,51980,3.6
"515","GA","Stewart County, GA",2705,41158,3.3
"516","GA","Sumter County, GA",12244,44677,4.5
"517","GA","Talbot County, GA",2831,45163,3.3
"518","GA","Taliaferro County, GA",554,42138,3.8
"519","GA","Tattnall County, GA",9343,47401,3.2
"520","GA","Taylor County, GA",2717,44035,4.2
"521","GA","Telfair County, GA",3373,41547,6.6
"522","GA","Terrell County, GA",3438,53281,4.5
"523","GA","Thomas County, GA",17428,52236,3.5
"524","GA","Tift County, GA",20929,52962,2.9
"525","GA","Toombs County, GA",12152,45125,3.8
"526","GA","Towns County, GA",4121,59273,4.2
"527","GA","Treutlen County, GA",2671,43533,4.3
"528","GA","Troup County, GA",37855,55852,2.8
"529","GA","Turner County, GA",3265,40865,4
"530","GA","Twiggs County, GA",2696,48772,4.9
"531","GA","Union County, GA",11447,64588,2.8
"532","GA","Upson County, GA",11634,48061,3.5
"533","GA","Walker County, GA",32199,53407,3
"534","GA","Walton County, GA",48730,83037,3
"535","GA","Ware County, GA",15092,48245,3.3
"536","GA","Warren County, GA",2764,44367,4.1
"537","GA","Washington County, GA",7078,48462,4.2
"538","GA","Wayne County, GA",11959,51102,3.3
"539","GA","Webster County, GA",987,45987,3.6
"540","GA","Wheeler County, GA",1627,35952,5.6
"541","GA","White County, GA",17499,62100,2.3
"542","GA","Whitfield County, GA",43550,61680,3.9
"543","GA","Wilcox County, GA",2702,44905,3.5
"544","GA","Wilkes County, GA",3781,47377,3.7
"545","GA","Wilkinson County, GA",3391,49648,3.8
"546","GA","Worth County, GA",8642,48956,3.2
"547","HI","Hawaii County, HI",95112,71143,3
"548","HI","Honolulu County/city, HI",457540,96304,2.7
"549","HI","Kauai County, HI",36863,81939,2.6
"550","HI","Maui County, HI",86842,89794,4.4
"551","ID","Ada County, ID",286174,87748,2.7
"552","ID","Adams County, ID",1868,56374,6
